id,ra,dec,mag
39 Boo,15h58m59.7s,+24°40'42",2.0
σ CrB,16h14m40.8s,+33°51'31",2.0
Melotte 111,12h25m00s,+26°06'00",2.0
Antares(心宿二),16h29m24s,-26°25'55",2.0
M21,18h04m13s,-22°29'24",2.0
M23,17h56m54s,-19°01'48",2.0
M24,18h16m48s,-18°29'00",2.0
M18,18h19m59s,-17°06'07",2.0
M25,18h31m47s,-19°15'38",2.0
NGC6633,18h27m31s,+06°34'12",2.0
IC4665,17h46m18s,+05°43'00",2.0
ξ Sco(Grafias),17h41m20.0s,-11°22'05",2.0
Ras Algethi(帝座),17h14m38.9s,+14°23'25",2.0
Marsic(晋),16h08m04s,+17°02'49",2.0
100 Her,18h09m00.6s,+21°19'01",2.0
天箭座,19h47m22s,+18°32'06",2.0
NGC6910,20h23m08s,+40°46'30",2.0
M39,21h31m48s,+48°26'00",2.0
海豚座,20h37m32s,+14°35'43",2.0
Kemble2,18h35m00s,+72°23'00",2.0
Albireo(辇道增七),19h30m43s,+27°57'35",2.0
ε Lyr/织女二,18h44m20s,+39°40'12",2.0
Cr399,19h25m12s,+20°11'00",2.0
NGC129,00h30m00s,+60°13'05",2.0
NGC884,02h22m23s,+57°07'30",2.0
M6,17h40m20s,-32°15'15",2.0
M7,17h53m51s,-34°47'36",2.0
M11,18h51m05s,-06°16'12",2.0
NGC6709,18h51m18s,+10°19'05",2.0
IC4756,18h38m30s,+05°26'00",2.0
M52,23h24m48s,+61°35'36",2.0
NGC7789,23h57m24s,+56°42'29",2.0
NGC6811,19h37m17s,+46°23'17",2.0
NGC6866,20h03m55s,+44°09'29",2.0
NGC6940,20h34m26s,+28°16'59",2.0
NGC6885,20h12m01s,+26°28'41",2.0
M30,21h40m22s,-23°10'47",2.0
NGC457,01h19m35s,+58°17'13",2.0
NGC6723,18h59m33s,-36°37'56",2.0
M2,21h33m27s,-00°49'23",2.0
M28,18h24m33s,-24°52'12",2.0
M71,19h53m46s,+18°46'45",2.0
M15,21h29m58s,+12°10'01",2.0
M13,16h41m41s,+36°27'36",2.0
M10,16h57m09s,-04°05'58",2.0
M27,19h59m36s,+22°43'16",2.0
M57,18h53m35s,+33°01'45",2.0
M16,18h18m48s,-13°49'00",2.0
M17,18h20m47s,-16°10'22",2.0
M20,18h02m23s,-22°58'19",2.0
M8,18h04m02s,-24°23'35",2.0
M22,18h36m24s,-23°54'12",2.0
M31,00h42m44s,+41°16'09",2.0
